Epoch,Train Loss,Val Accuracy,Val AUC,Learning Rate
0,0.875493049621582,0.8823529411764706,1.0,0.001
1,0.13837382197380066,0.9411764705882353,1.0,0.0009990143508499217
2,0.022076893597841263,0.9411764705882353,1.0,0.0009960612933065818
3,0.005232979543507099,1.0,1.0,0.00099115248173898
4,0.0023855906911194324,1.0,1.0,0.0009843072889837512
5,0.003656201297417283,1.0,1.0,0.0009755527298894294
6,0.0004743552708532661,1.0,1.0,0.0009649233547011816
7,0.0003063608310185373,1.0,1.0,0.0009524611127067769
8,0.0003194873279426247,1.0,1.0,0.0009382151866819099
9,0.0001256077957805246,1.0,1.0,0.0009222417987882566
10,0.00020269946253392845,1.0,1.0,0.0009046039886902864
11,0.00010884736548177898,1.0,1.0,0.0008853713647665069
12,8.544735464965925e-05,1.0,1.0,0.0008646198293969952
13,4.4111813622293994e-05,1.0,1.0,0.0008424312794113801
14,0.00011450582678662613,1.0,1.0,0.0008188932828794706
15,5.073489228379913e-05,1.0,1.0,0.0007940987335200906
16,5.7789726270129904e-05,1.0,1.0,0.0007681454840920089
17,6.111313996370882e-05,1.0,1.0,0.0007411359602138069
18,8.629967487649992e-05,1.0,1.0,0.0007131767561367538
19,4.91709761263337e-05,1.0,1.0,0.0006843782140659967
20,3.535398354870267e-05,1.0,1.0,0.0006548539886902863
21,1.5024847016320564e-05,1.0,1.0,0.0006247205986388449
22,4.119135337532498e-05,1.0,1.0,0.0005940969666355696
23,4.335703488322906e-05,1.0,1.0,0.0005631039501653701
24,1.7022744941641577e-05,1.0,1.0,0.0005318638645048921
25,6.061606836738065e-05,1.0,1.0,0.0005005
26,2.40760127780959e-05,1.0,1.0,0.00046913613549510796
27,3.72735048586037e-05,1.0,1.0,0.00043789604983463003
28,0.00015222636284306645,1.0,1.0,0.00040690303336443054
29,2.9476503186742775e-05,1.0,1.0,0.000376279401361155
30,2.1569656382780522e-05,1.0,1.0,0.00034614601130971394
31,1.9667706510517746e-05,1.0,1.0,0.00031662178593400354
32,2.1523992472793907e-05,1.0,1.0,0.00028782324386324626
33,2.1440588170662522e-05,1.0,1.0,0.00025986403978619317
34,1.0042071153293364e-05,1.0,1.0,0.00023285451590799105
35,7.822664338164032e-05,1.0,1.0,0.0002069012664799097
36,5.956856330158189e-05,1.0,1.0,0.00018210671712052946
37,3.8392405258491635e-05,1.0,1.0,0.00015856872058861996
38,2.836451312759891e-05,1.0,1.0,0.00013638017060300502
39,3.086477954639122e-05,1.0,1.0,0.0001156286352334933
40,2.543788832554128e-05,1.0,1.0,9.639601130971378e-05
41,6.069538721931167e-05,1.0,1.0,7.875820121174356e-05
42,7.102703239070252e-05,1.0,1.0,6.278481331809012e-05
43,1.857955430750735e-05,1.0,1.0,4.853888729322332e-05
44,1.0591196769382805e-05,1.0,1.0,3.607664529881844e-05
45,1.5019630154711194e-05,1.0,1.0,2.5447270110570804e-05
46,4.253043880453333e-05,1.0,1.0,1.6692711016248827e-05
47,3.163812652928755e-05,1.0,1.0,9.84751826101998e-06
48,0.00011756825551856309,1.0,1.0,4.938706693418354e-06
49,2.798472996801138e-05,1.0,1.0,1.9856491500783555e-06
